Period;Hour;Day_type;Origin;Destination;Immobility;Home_Category;Activity_Category;Gender;Observation_Zone;Mode;Volume
202002;08:00:00;JO;Nord-Kivu;Sud-Kivu;1h;Study_Zone_Resident;Study_Zone_Worker;NA;ZoneGlobale;All_modes;25
202002;08:00:00;JO;Nord-Kivu;Sud-Kivu;3h;Study_Zone_Resident;Study_Zone_Worker;NA;ZoneGlobale;All_modes;25
202002;08:00:00;WE;Hors_Zone;Haut-Katanga;1h;Outside_Resident;Outside_Worker;M;ZoneGlobale;All_modes;28
202002;08:00:00;WE;Hors_Zone;Kongo-Central;1h;Outside_Resident;Outside_Worker;M;ZoneGlobale;All_modes;36
202002;08:00:00;WE;Hors_Zone;Kongo-Central;1h;Outside_Resident;Outside_Worker;NA;ZoneGlobale;All_modes;21
202002;08:00:00;WE;Kinshasa;Kongo-Central;1h;Outside_Resident;Origin_Zone_Worker;NA;ZoneGlobale;All_modes;30
202002;08:00:00;WE;Kinshasa;Kongo-Central;3h;Outside_Resident;Origin_Zone_Worker;NA;ZoneGlobale;All_modes;30
202002;08:00:00;WE;Kinshasa;Kongo-Central;3h;Destination_Zone_Resident;Destination_Zone_Worker;M;ZoneGlobale;All_modes;51
202002;08:00:00;WE;Kongo-Central;Kinshasa;1h;Destination_Zone_Resident;Destination_Zone_Worker;F;ZoneGlobale;All_modes;23
202002;08:00:00;WE;Kongo-Central;Kinshasa;1h;Origin_Zone_Resident;Origin_Zone_Worker;M;ZoneGlobale;All_modes;35
202002;08:00:00;WE;Kongo-Central;Kinshasa;3h;Destination_Zone_Resident;Destination_Zone_Worker;M;ZoneGlobale;All_modes;45
202002;08:00:00;WE;Kongo-Central;Kinshasa;3h;Origin_Zone_Resident;Origin_Zone_Worker;M;ZoneGlobale;All_modes;27
202002;08:30:00;JO;Haut-Katanga;Kasai-Central;1h;Origin_Zone_Resident;Origin_Zone_Worker;M;ZoneGlobale;All_modes;38
202002;08:30:00;JO;Haut-Katanga;Kasai-Central;1h;Origin_Zone_Resident;Origin_Zone_Worker;NA;ZoneGlobale;All_modes;34
202002;08:30:00;JO;Haut-Katanga;Kinshasa;1h;Outside_Resident;Outside_Worker;NA;ZoneGlobale;All_modes;26
202002;08:30:00;JO;Hors_Zone;Haut-Katanga;1h;Outside_Resident;Outside_Worker;M;ZoneGlobale;All_modes;255
202002;08:30:00;JO;Hors_Zone;Haut-Katanga;1h;Outside_Resident;Outside_Worker;NA;ZoneGlobale;All_modes;190
202002;08:30:00;JO;Hors_Zone;Haut-Lomami;1h;Outside_Resident;Outside_Worker;M;ZoneGlobale;All_modes;22
202002;08:30:00;JO;Hors_Zone;Kasai-Central;1h;Outside_Resident;Outside_Worker;M;ZoneGlobale;All_modes;21
202002;08:30:00;JO;Hors_Zone;Kasai-Oriental;1h;Outside_Resident;Outside_Worker;M;ZoneGlobale;All_modes;21
202002;08:30:00;JO;Hors_Zone;Kinshasa;1h;Outside_Resident;Outside_Worker;M;ZoneGlobale;All_modes;122
