Period;Day_type;Zone;Home_Zone;Activity_Zone;PresenceType;Gender;Volume
202002;JO;Kinshasa;Hors_Zone;Kinshasa;Nuit;M;15207
202002;JO;Kinshasa;Hors_Zone;Kinshasa;Nuit;NA;6232
202002;JO;Kinshasa;Hors_Zone;Kongo-Central;Jour;F;1252
202002;JO;Kinshasa;Hors_Zone;Kongo-Central;Jour;M;3065
202002;JO;Kinshasa;Hors_Zone;Kongo-Central;Jour;NA;1043
202002;JO;Kinshasa;Hors_Zone;Kongo-Central;Nuit;F;777
202002;JO;Kinshasa;Hors_Zone;Kongo-Central;Nuit;M;1914
202002;JO;Kinshasa;Hors_Zone;Kongo-Central;Nuit;NA;595
202002;JO;Kinshasa;Hors_Zone;Kwilu;Jour;M;79
202002;JO;Kinshasa;Hors_Zone;Kwilu;Nuit;F;38
202002;JO;Kinshasa;Hors_Zone;Kwilu;Nuit;M;38
202002;JO;Kinshasa;Hors_Zone;Maniema;Nuit;NA;40
202002;JO;Kinshasa;Hors_Zone;Nord-Kivu;Jour;M;24
202002;JO;Kinshasa;Hors_Zone;Nord-Kivu;Nuit;M;32
202002;JO;Kinshasa;Kasai-Central;Kinshasa;Jour;M;101
202002;JO;Kinshasa;Kasai-Central;Kinshasa;Jour;NA;77
202002;JO;Kinshasa;Kasai-Central;Kinshasa;Nuit;M;76
202002;JO;Kinshasa;Kasai-Central;Kinshasa;Nuit;NA;103
202002;JO;Kinshasa;Kasai-Oriental;Kasai-Oriental;Nuit;M;35
202002;JO;Kinshasa;Kinshasa;Hors_Zone;Jour;F;1300
202002;JO;Kinshasa;Kinshasa;Hors_Zone;Jour;M;2766
202002;JO;Kinshasa;Kinshasa;Hors_Zone;Jour;NA;1571
202002;JO;Kinshasa;Kinshasa;Hors_Zone;Nuit;F;1426
202002;JO;Kinshasa;Kinshasa;Hors_Zone;Nuit;M;3049
202002;JO;Kinshasa;Kinshasa;Hors_Zone;Nuit;NA;1711
202002;JO;Kinshasa;Kinshasa;Kinshasa;Jour;F;122980
202002;JO;Kinshasa;Kinshasa;Kinshasa;Jour;M;305084
