Period;Hour;Day_type;Origin;Destination;Immobility;Home_Category;Activity_Category;Age;Observation_Zone;Mode;Volume
202002;18:00:00;JO;Hors_Zone;Kinshasa;1h;Outside_Resident;Outside_Worker;25-34;ZoneGlobale;All_modes;23
202002;18:00:00;JO;Hors_Zone;Kinshasa;1h;Outside_Resident;Outside_Worker;<18;ZoneGlobale;All_modes;47
202002;18:00:00;JO;Hors_Zone;Kongo-Central;1h;Outside_Resident;Outside_Worker;25-34;ZoneGlobale;All_modes;35
202002;18:00:00;JO;Hors_Zone;Kongo-Central;1h;Outside_Resident;Outside_Worker;<18;ZoneGlobale;All_modes;139
202002;18:00:00;JO;Hors_Zone;Lualaba;1h;Outside_Resident;Outside_Worker;<18;ZoneGlobale;All_modes;50
202002;18:00:00;JO;Hors_Zone;Sud-Ubangi;1h;Outside_Resident;Outside_Worker;<18;ZoneGlobale;All_modes;27
202002;18:00:00;JO;Kinshasa;Kongo-Central;1h;Outside_Resident;Outside_Worker;35-44;ZoneGlobale;All_modes;26
202002;18:00:00;JO;Kinshasa;Kongo-Central;1h;Destination_Zone_Resident;Destination_Zone_Worker;25-34;ZoneGlobale;All_modes;29
202002;18:00:00;JO;Kinshasa;Kongo-Central;3h;Outside_Resident;Outside_Worker;18-24;ZoneGlobale;All_modes;53
202002;18:00:00;JO;Kinshasa;Kongo-Central;3h;Outside_Resident;Outside_Worker;35-44;ZoneGlobale;All_modes;26
202002;18:00:00;JO;Kongo-Central;Kinshasa;1h;Outside_Resident;Origin_Zone_Worker;35-44;ZoneGlobale;All_modes;53
202002;18:00:00;JO;Kongo-Central;Kinshasa;1h;Origin_Zone_Resident;Origin_Zone_Worker;<18;ZoneGlobale;All_modes;41
202002;18:00:00;JO;Kongo-Central;Kinshasa;3h;Origin_Zone_Resident;Origin_Zone_Worker;<18;ZoneGlobale;All_modes;65
202002;18:00:00;JO;Lualaba;Haut-Katanga;1h;Origin_Zone_Resident;Destination_Zone_Worker;<18;ZoneGlobale;All_modes;26
202002;18:00:00;JO;Lualaba;Haut-Lomami;1h;Outside_Resident;Outside_Worker;<18;ZoneGlobale;All_modes;27
202002;18:00:00;JO;Nord-Kivu;Kinshasa;3h;Study_Zone_Resident;Study_Zone_Worker;<18;ZoneGlobale;All_modes;27
202002;18:00:00;JO;Sud-Kivu;Nord-Kivu;3h;Outside_Resident;Outside_Worker;18-24;ZoneGlobale;All_modes;25
202002;18:00:00;WE;Haut-Katanga;Lualaba;3h;Outside_Resident;Origin_Zone_Worker;35-44;ZoneGlobale;All_modes;27
202002;18:00:00;WE;Hors_Zone;Haut-Katanga;1h;Outside_Resident;Outside_Worker;<18;ZoneGlobale;All_modes;46
202002;18:00:00;WE;Hors_Zone;Kinshasa;1h;Outside_Resident;Outside_Worker;35-44;ZoneGlobale;All_modes;27
202002;18:00:00;WE;Hors_Zone;Kinshasa;1h;Outside_Resident;Outside_Worker;<18;ZoneGlobale;All_modes;35
202002;18:00:00;WE;Hors_Zone;Kongo-Central;1h;Outside_Resident;Outside_Worker;25-34;ZoneGlobale;All_modes;42
202002;18:00:00;WE;Hors_Zone;Kongo-Central;1h;Outside_Resident;Outside_Worker;<18;ZoneGlobale;All_modes;146
202002;18:00:00;WE;Kongo-Central;Kinshasa;1h;Outside_Resident;Outside_Worker;45-54;ZoneGlobale;All_modes;28
202002;18:00:00;WE;Kongo-Central;Kinshasa;1h;Origin_Zone_Resident;Origin_Zone_Worker;18-24;ZoneGlobale;All_modes;21
