Origine;NomOrigine;Destination;NomDestination;Distance
14;Bas-Uele;11;Kongo-Central;1556358,997
14;Bas-Uele;12;Ituri;526468,7793
14;Bas-Uele;13;Kasai;1049385,481
14;Bas-Uele;15;Lomami;1089803,725
14;Bas-Uele;16;Kasai-Oriental;1096256,044
14;Bas-Uele;17;Kwilu;1177061,244
14;Bas-Uele;18;Mai-Ndombe;1014845,499
14;Bas-Uele;19;Maniema;755660,4866
14;Bas-Uele;20;Kwango;1375552,587
14;Bas-Uele;21;Haut-Uele;384291,6764
14;Bas-Uele;22;Sud-Ubangi;646129,2827
14;Bas-Uele;23;Kasai-Central;1128775,631
14;Bas-Uele;24;Equateur;787652,347
14;Bas-Uele;25;Haut-Lomami;1312223,185
14;Bas-Uele;26;Nord-Kivu;613353,667
15;Lomami;1;Tanganyika;391764,7323
15;Lomami;2;Mongala;984433,0136
15;Lomami;3;Sankuru;325122,3985
15;Lomami;4;Haut-Katanga;583139,1605
15;Lomami;5;Lualaba;409733,56
15;Lomami;6;Kinshasa;991464,5389
15;Lomami;7;Nord-Ubangi;1185292,308
15;Lomami;8;Tshuapa;693727,2151
15;Lomami;9;Sud-Kivu;517347,9511
15;Lomami;10;Tshopo;743111,1224
15;Lomami;11;Kongo-Central;1152543,934
15;Lomami;12;Ituri;1031263,107
15;Lomami;13;Kasai;420056,6804
15;Lomami;14;Bas-Uele;1089803,725
15;Lomami;16;Kasai-Oriental;128535,1033
15;Lomami;17;Kwilu;686113,8094
15;Lomami;18;Mai-Ndombe;785880,9931
15;Lomami;19;Maniema;396819,7714
15;Lomami;20;Kwango;754208,7003
15;Lomami;21;Haut-Uele;1143512,583
15;Lomami;22;Sud-Ubangi;1187355,742
15;Lomami;23;Kasai-Central;242338,5921
15;Lomami;24;Equateur;957882,0091
15;Lomami;25;Haut-Lomami;238182,6731
15;Lomami;26;Nord-Kivu;764908,2675
16;Kasai-Oriental;1;Tanganyika;520192,0125
16;Kasai-Oriental;2;Mongala;938966,0963
16;Kasai-Oriental;3;Sankuru;295367,8516
16;Kasai-Oriental;4;Haut-Katanga;672389,8557
16;Kasai-Oriental;5;Lualaba;409892,6197
16;Kasai-Oriental;6;Kinshasa;864298,3761
16;Kasai-Oriental;7;Nord-Ubangi;1140976,53
16;Kasai-Oriental;8;Tshuapa;636819,2416
16;Kasai-Oriental;9;Sud-Kivu;617730,9632
16;Kasai-Oriental;10;Tshopo;757084,7783
16;Kasai-Oriental;11;Kongo-Central;1024050,771
16;Kasai-Oriental;12;Ituri;1097882,716
16;Kasai-Oriental;13;Kasai;298714,3501
16;Kasai-Oriental;14;Bas-Uele;1096256,044
16;Kasai-Oriental;15;Lomami;128535,1033
16;Kasai-Oriental;17;Kwilu;559918,4812
16;Kasai-Oriental;18;Mai-Ndombe;673020,7203
16;Kasai-Oriental;19;Maniema;467766,7201
16;Kasai-Oriental;20;Kwango;626357,2974
16;Kasai-Oriental;21;Haut-Uele;1192044,049
16;Kasai-Oriental;22;Sud-Ubangi;1122009,004
16;Kasai-Oriental;23;Kasai-Central;114322,4298
16;Kasai-Oriental;24;Equateur;871181,3434
16;Kasai-Oriental;25;Haut-Lomami;312562,7567
16;Kasai-Oriental;26;Nord-Kivu;841386,6684
17;Kwilu;1;Tanganyika;1075918,402
17;Kwilu;2;Mongala;824436,7844
17;Kwilu;3;Sankuru;568095,7063
17;Kwilu;4;Haut-Katanga;1191045,702
17;Kwilu;5;Lualaba;804498,5277
17;Kwilu;6;Kinshasa;306788,5817
17;Kwilu;7;Nord-Ubangi;993425,2109
17;Kwilu;8;Tshuapa;571217,3362
17;Kwilu;9;Sud-Kivu;1080382,915
17;Kwilu;10;Tshopo;932564,9403
17;Kwilu;11;Kongo-Central;484582,4561
17;Kwilu;12;Ituri;1405775,019
17;Kwilu;13;Kasai;272387,8955
17;Kwilu;14;Bas-Uele;1177061,244
17;Kwilu;15;Lomami;686113,8094
17;Kwilu;16;Kasai-Oriental;559918,4812
17;Kwilu;18;Mai-Ndombe;231500,1472
17;Kwilu;19;Maniema;882891,8117
17;Kwilu;20;Kwango;202534,4797
